Unnamed: 0,addr,latitude,longitude
413,은평구 역촌동 39-2,37.60112460000001,126.9185039
414,은평구 증산동 185-1,37.5829059,126.9065531
415,은평구 증산동 163-34,37.58674960000001,126.9117363
416,은평구 증산동 180-1,37.5799698,126.9041191
417,은평구 증산동 18-6,37.5843744,126.90303490000002
418,은평구 신사동 5-21,37.5989763,126.9112122
419,은평구 녹번동 1-1,37.6057986,126.9413992
420,은평구 갈현동 434-38,37.62150250000001,126.9157811
421,은평구 역촌동 32-36,37.6040623,126.91678629999998
422,은평구 신사동 31-2,37.5960721,126.9118681
423,서대문구 영천동 263- ,37.571603,126.9604487
424,서대문구 현저동 107-479,37.5730089,126.9530963
425,서대문구 대현동 60-11,37.5578381,126.9437264
426,서대문구 봉원동 19- ,37.5707224,126.9461831
427,서대문구 홍제동 1-1,37.5876553,126.9554558
428,서대문구 홍제동 1-100,37.59285870000001,126.9548512
429,서대문구 남가좌동 124-453,37.5728769,126.9182624
430,서대문구 남가좌동 152-22,37.5706876,126.9165412
431,마포구 동교동 168-1,37.5572005,126.92603390000002
432,마포구 연남동 563-5,37.559655,126.9188053
433,은평구 구산동 33- ,37.6095476,126.9087173
434,마포구 망원동 460-5,37.55325429999999,126.9003275
435,마포구 상수동 72-7,37.5490071,126.9253507
436,종로구 구기동 120-16,37.6095904,126.9564205
437,종로구 창신동 23-315,37.5784256,127.0125542
438,종로구 연건동 28-5,37.5799292,126.99680890000002
439,종로구 인사동 43-2,37.5714789,126.98735790000002
440,종로구 숭인동 56-144,37.5786549,127.0176173
441,종로구 숭인동 56-155,37.5786667,127.0173915
442,종로구 세종로 1- ,37.5862716,126.9766224
443,마포구 아현동 386-72,37.5519207,126.9622492
444,종로구 무악동 48- ,37.57794929999999,126.9569202
445,종로구 옥인동 179-1,37.5830092,126.9637748
446,종로구 창신동 640- ,37.575547,127.0098414
447,중구 장충동2가 200-102,37.55816970000001,127.0068293
448,중구 광희동1가 202-1,37.5643044,127.0063522
449,중구 을지로7가 114-1,37.5656488,127.008285
450,구로구 구로동 170-1,37.4889603,126.8923718
451,중구 흥인동 162-6,37.5697634,127.0169824
452,중구 신당동 298-74,37.5613834,127.0138025
453,동대문구 장안동 466-8,37.5612302,127.0694125
454,동대문구 전농동 295-12,37.5758452,127.0556759
455,성동구 마장동 796-5,37.56358770000001,127.0420132
456,금천구 시흥동 893-1,37.4527516,126.9044818
457,금천구 시흥동 73-1,37.4432491,126.9124545
458,금천구 시흥동 836- ,37.4521509,126.9070171
459,금천구 독산동 971- ,37.4764227,126.90192720000002
460,동대문구 휘경동 275-6,37.5901367,127.0632253
461,강서구 방화동 829-1,37.5779102,126.8126577
462,금천구 독산동 118-4,37.4683591,126.9085638
463,금천구 시흥동 138-3,37.4633802,126.9074067
464,금천구 시흥동 234- ,37.4525941,126.9255721
465,금천구 독산동 732-1,37.4558942,126.8935705
466,금천구 가산동 340-5,37.4683588,126.8836122
467,금천구 가산동 614-71,37.4762408,126.8770512
468,금천구 가산동 538-11,37.4832941,126.8739458
469,강남구 개포동 167-9,37.4828193,127.0606833
470,도봉구 창동 650-65,37.6445799,127.0327469
471,도봉구 창동 744- ,37.6615526,127.0474489
472,도봉구 창동 715-14,37.6545678,127.0388052
473,도봉구 창동 731-19,37.6578289,127.04062759999998
474,마포구 합정동 382-20,37.54877379999999,126.910448
475,마포구 합정동 383-4,37.5492372,126.9126221
476,마포구 성산동 232-11,37.559407,126.9166743
477,마포구 성산동 41-7,37.5620983,126.9143751
478,서대문구 남가좌동 266-6,37.5707024,126.912468
479,서대문구 남가좌동 76-145,37.5729929,126.9222492
480,서대문구 대신동 16-7,37.5610868,126.9416324
481,서대문구 북가좌동 390-2,37.5731599,126.9077586
482,서대문구 북가좌동 327-12,37.582,126.9126257
483,서대문구 홍은동 379-6,37.5822118,126.9265693
484,서대문구 홍제동 330-61,37.5890629,126.9434294
485,서대문구 홍제동 22-3,37.5835256,126.9500285
486,서대문구 홍제동 103-9,37.58435770000001,126.9492662
487,서초구 내곡동 142-3,37.4553904,127.0628872
488,서대문구 남가좌동 329-34,37.5756222,126.9255344
489,서초구 내곡동 337- ,37.4574109,127.0602157
490,서초구 반포동 19-2,37.5045915,127.0018284
491,서초구 반포동 44-5,37.49918579999999,127.0121627
492,서초구 반포동 67-2,37.5001384,126.9993007
493,서초구 반포동 111-2,37.4983436,126.994828
494,서초구 반포동 19-6,37.5068787,127.0087354
495,성북구 장위동 231-198,37.6133756,127.0381076
496,성북구 장위동 63-27,37.6122428,127.0559192
497,성북구 장위동 75-604,37.6148675,127.0527668
498,성북구 장위동 43-9,37.6135595,127.0603091
499,성북구 장위동 165-23,37.6213367,127.0520639
500,성북구 정릉동 404-4,37.6077514,127.0099116
501,성북구 정릉동 428- ,37.6054453,127.0085841
502,성북구 정릉동 401-15,37.60923,127.0099766
503,서대문구 홍제동 279-43,37.5954771,126.9484524
504,성북구 종암동 29-10,37.5919736,127.0360352
505,성북구 종암동 3-545,37.6028683,127.0320677
506,성북구 종암동 10-15,37.5956321,127.0361366
507,성북구 종암동 30-24,37.5916901,127.0366625
508,은평구 불광동 493- ,37.6253529,126.92044
509,은평구 수색동 379-8,37.5839039,126.89125690000002
510,은평구 신사동 34-37,37.5956039,126.9145502
511,은평구 신사동 35-11,37.5940764,126.9141182
512,은평구 신사동 40-2,37.5958982,126.9095611
513,은평구 역촌동 22-13,37.6051788,126.9157829
514,은평구 응암동 81-173,37.6012126,126.929316
515,은평구 응암동 88-8,37.6005544,126.9214431
516,은평구 응암동 117-54,37.5967268,126.9193601
517,은평구 응암동 576-39,37.5907311,126.9177178
518,은평구 응암동 594-1,37.5866923,126.9159439
